X,Y,orbit_index,weight_num
2500,4000,0,15513041481
2500,14282,0,15513041481
4000,2500,0,15513041481
4000,15782,0,15513041481
14282,2500,0,15513041481
14282,15782,0,15513041481
15782,4000,0,15513041481
15782,14282,0,15513041481
3000,4000,1,67600453567
3000,14282,1,67600453567
4000,3000,1,67600453567
4000,15282,1,67600453567
14282,3000,1,67600453567
14282,15282,1,67600453567
15282,4000,1,67600453567
15282,14282,1,67600453567
3000,8000,2,46604337525
3000,10282,2,46604337525
8000,3000,2,46604337525
8000,15282,2,46604337525
10282,3000,2,46604337525
10282,15282,2,46604337525
15282,8000,2,46604337525
15282,10282,2,46604337525
3500,4000,3,98916737789
3500,14282,3,98916737789
4000,3500,3,98916737789
4000,14782,3,98916737789
14282,3500,3,98916737789
14282,14782,3,98916737789
14782,4000,3,98916737789
14782,14282,3,98916737789
3500,8000,4,16854750417
3500,10282,4,16854750417
8000,3500,4,16854750417
8000,14782,4,16854750417
10282,3500,4,16854750417
10282,14782,4,16854750417
14782,8000,4,16854750417
14782,10282,4,16854750417
4000,4000,5,184171974163
4000,14282,5,184171974163
14282,4000,5,184171974163
14282,14282,5,184171974163
7000,8000,8,1841249672
7000,10282,8,1841249672
8000,7000,8,1841249672
8000,11282,8,1841249672
10282,7000,8,1841249672
10282,11282,8,1841249672
11282,8000,8,1841249672
11282,10282,8,1841249672
7500,7500,9,26930506540
7500,10782,9,26930506540
10782,7500,9,26930506540
10782,10782,9,26930506540
7500,8000,10,16982619206
7500,10282,10,16982619206
8000,7500,10,16982619206
8000,10782,10,16982619206
10282,7500,10,16982619206
10282,10782,10,16982619206
10782,8000,10,16982619206
10782,10282,10,16982619206
7500,8500,11,15306502942
7500,9782,11,15306502942
8500,7500,11,15306502942
8500,10782,11,15306502942
9782,7500,11,15306502942
9782,10782,11,15306502942
10782,8500,11,15306502942
10782,9782,11,15306502942
2250,4000,12,30914289106
2250,14282,12,30914289106
4000,2250,12,30914289106
4000,16032,12,30914289106
14282,2250,12,30914289106
14282,16032,12,30914289106
16032,4000,12,30914289106
16032,14282,12,30914289106
3750,4000,13,64366651895
3750,14282,13,64366651895
4000,3750,13,64366651895
4000,14532,13,64366651895
14282,3750,13,64366651895
14282,14532,13,64366651895
14532,4000,13,64366651895
14532,14282,13,64366651895
7000,7750,14,21772401372
7000,10532,14,21772401372
7750,7000,14,21772401372
7750,11282,14,21772401372
10532,7000,14,21772401372
10532,11282,14,21772401372
11282,7750,14,21772401372
11282,10532,14,21772401372
7750,8000,15,20854790586
7750,10282,15,20854790586
8000,7750,15,20854790586
8000,10532,15,20854790586
10282,7750,15,20854790586
10282,10532,15,20854790586
