column,X,Y,orbit_size,weight_numerator,weight_denominator,orbit_mass_numerator
0,2500,4000,8,15513041481,1000000000000,124104331848
1,3000,4000,8,67600453567,1000000000000,540803628536
2,3000,8000,8,46604337525,1000000000000,372834700200
3,3500,4000,8,98916737789,1000000000000,791333902312
4,3500,8000,8,16854750417,1000000000000,134838003336
5,4000,4000,4,184171974163,1000000000000,736687896652
8,7000,8000,8,1841249672,1000000000000,14729997376
9,7500,7500,4,26930506540,1000000000000,107722026160
10,7500,8000,8,16982619206,1000000000000,135860953648
11,7500,8500,8,15306502942,1000000000000,122452023536
12,2250,4000,8,30914289106,1000000000000,247314312848
13,3750,4000,8,64366651895,1000000000000,514933215160
14,7000,7750,8,21772401372,1000000000000,174179210976
15,7750,8000,8,20854790586,1000000000000,166838324688
16,4000,7750,8,20996116043,1000000000000,167968928344
17,3750,8000,8,96115558852,1000000000000,768924470816
18,5250,7000,8,12589960964,1000000000000,100719687712
19,4000,5750,8,29797751019,1000000000000,238382008152
20,7100,8000,8,1841249672,1000000000000,14729997376
21,6050,7600,8,18547915853,1000000000000,148383326824
23,4000,7900,8,67167830832,1000000000000,537342646656
24,5850,7550,8,21580293739,1000000000000,172642349912
25,6800,6850,8,39008992348,1000000000000,312071938784
26,6300,7250,8,27372323651,1000000000000,218978589208
27,4000,6600,8,16982619206,1000000000000,135860953648
28,3900,4000,8,52815777065,1000000000000,422526216520
29,3850,7250,8,11645132394,1000000000000,93161059152
30,3950,7600,8,9880908445,1000000000000,79047267560
31,3750,7750,8,20070894020,1000000000000,160567152160
32,3650,6550,8,130129935412,1000000000000,1041039483296
33,3250,5550,8,8210576722,1000000000000,65684613776
34,7300,8000,8,7432708255,1000000000000,59461666040
36,7150,9050,8,17278056999,1000000000000,138224455992
38,2750,4000,8,65698253107,1000000000000,525586024856
40,2850,7950,8,15513041481,1000000000000,124104331848
41,3050,7900,8,26363195346,1000000000000,210905562768
42,3200,7700,8,32679182844,1000000000000,261433462752
43,3250,7900,8,61211580860,1000000000000,489692646880
44,3700,3750,8,12238808914,1000000000000,97910471312
45,7900,7950,8,1841249672,1000000000000,14729997376
46,4000,7650,8,29797751019,1000000000000,238382008152
47,3600,6350,8,130129935412,1000000000000,1041039483296
48,4000,6300,8,39250238130,1000000000000,314001905040
49,7750,7850,8,5367079304,1000000000000,42936634432
50,2350,8000,8,29444711381,1000000000000,235557691048
51,6400,7200,8,30116874982,1000000000000,240934999856
52,6650,7850,8,10865498121,1000000000000,86923984968
53,6500,7800,8,10900144473,1000000000000,87201155784
55,6750,7750,8,24268034793,1000000000000,194144278344
56,3350,5650,8,22703712385,1000000000000,181629699080
57,7700,9100,8,10900144473,1000000000000,87201155784
58,3700,6700,8,16982619206,1000000000000,135860953648
60,7650,8900,8,11744200260,1000000000000,93953602080
61,7450,8850,8,10493826173,1000000000000,83950609384
62,6900,7650,8,11645132394,1000000000000,93161059152
63,3850,7900,8,9726856999,1000000000000,77814855992
64,7550,7800,8,18789161635,1000000000000,150313293080
65,7600,8600,8,11115207598,1000000000000,88921660784
66,3950,7400,8,26363195346,1000000000000,210905562768
67,1400,7900,8,15513041481,1000000000000,124104331848
68,3850,7100,8,39250238130,1000000000000,314001905040
69,5150,7300,8,2923080517,1000000000000,23384644136
70,3700,6800,8,30914289106,1000000000000,247314312848
71,3950,8900,8,35258783437,1000000000000,282070267496
72,6950,7900,8,34392746396,1000000000000,275141971168
73,6300,7600,8,21580293739,1000000000000,172642349912
74,5750,7600,8,24861406865,1000000000000,198891254920
76,5950,7450,8,31817529876,1000000000000,254540239008
77,7600,8800,8,11645132394,1000000000000,93161059152
79,6600,7600,8,13961262392,1000000000000,111690099136
81,5650,7300,8,53530746265,1000000000000,428245970120
