Final s: 5.933885799813025878636452092961828420174556271843708138432783433725632994852478815644626794366204548006973

Square 1: x=-2.466938000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-2.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 2: x=-1.466936000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-2.466942313056993986907384754110517994375384109516616405086855956016240869468376191759303051771228373757873, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 3: x=-0.916985792541225682309638332248110389830004812127969234299082464411325791392359242851049657334356346601978, y=-1.303751137973541042384827844298824815657325947299738296027227578183638278801082036189782769521040688334231, deg=24.700829000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 4: x=-0.466936000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-2.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 5: x=0.337509000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-1.539818000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=72.107796000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 6: x=2.466746000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-2.466940525141519133091325801761795303486080834367186362017321985084737636500065598840494055175213887737236, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 7: x=-2.465496000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-1.466941152378031608266977464145879694792053175018999159812702436138743026501618291415184625917976824345802, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 8: x=-1.303749110967078757844559843093677715822188674256983513107872151175312860440629646487400326601065498417570, y=-0.380934758747928658709780821327670235000075620472736628788584699466237758618947717411761803169710893161062, deg=24.700988000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 9: x=-0.173669968931151985470591020564966539036306284375146623418344137395135909517248279413447673058309034197934, y=-0.447302081970275408008991744715654519126705910004063475972646256423066315163125375917366875119935691291218, deg=20.758000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 10: x=0.900411839047979880378318994886366606732416241575141781461329051318537744893896716425696992273207947202173, y=-0.458062568963939880313922025347536975716057298536241964856744662805788454448859672089943455238350821773004, deg=20.476000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 11: x=1.465046000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-2.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 12: x=2.466276000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=-0.466535000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 13: x=-2.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=1.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 14: x=-2.466942899906512939318226046480914210087278135921854069216391716862816497426239407822313397183102274002582, y=-0.466941152378031608266977464145879694792053175018999159812702436138743026501618291415184625917976824351521, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 15: x=0.547775701775702634839191468761728815956684589373031202678045345551859690609014862367190711555605816308140, y=0.477702798656805131764876937032115259106119587926595065479186829765177769595152812582525429262714626167984, deg=20.476000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 16: x=-0.526304699057338751049583365505898430669689439985276442126950079193530587568216075981841692684289918581587, y=0.488460921532030755234041598682408570259043669513666525265937421993960511317453959091187583350949241142673, deg=20.758000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 17: x=2.466942899906512939318226046480914210087278135921854069216391716862816497426239407822313397183102274002212, y=-1.466611000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 18: x=2.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=1.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 19: x=-2.466941000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=2.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 20: x=-0.953007840918610085363179411341871078633312446573704943739700900200412807954341212094697557574413663772453, y=1.425008731505566042245650397973192709242114763321618886573858936155953284297092507372741853693045153180144, deg=24.205241000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 21: x=1.306652000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=1.390537000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=20.758000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 22: x=0.195476617505505418024447238383013888324417058602211058910141867088820659755848232304175220995369263346823, y=1.413594024335822809509207426370932986040256498565241409435277291016900893580297566209190879911987457411779, deg=20.476000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 23: x=1.466942899906512939318226046480914210087278135921854069216391716862816497426239407822313397183102274010858, y=-1.466940525141519133091325801761795303486080834367186362017321985084737636500065598840494055175213887744923, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 24: x=1.631512000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=0.441416000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=20.771346000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 25: x=-1.659847252820692227825777024365893644070238086121350787412352333508714619577288937447687086631499336407315, y=0.558345691001443831232332806414455217040501904032167689506152022087605589080020491909083021068692438456544, deg=24.947256000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 26: x=-1.466939090895385229071377094881193443018613503754847712036382478411534847970415100480478125181265471031254, y=2.466942202201934687743974410083657095624970558048897464915344852347864480218712808591278087230360759690690, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 27: x=-0.226074590694312078736157889640333641289566202507082536560453233196069015720089501274656044753714064769727, y=2.323626000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057051, deg=20.476000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 28: x=0.928330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=2.325155000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=19.981237000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
Square 29: x=2.463593000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, y=2.466942000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, deg=0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
